nome_peça,modelo_peça,função_peça,defeito_peça,informação_aleatória
,,,,
Placa-mãe,ASUS ROG Strix Z490-E Gaming,Conectar e gerenciar componentes do videogame,Super-aquecimento,skndsjd
Processador,Intel Core i9-11900K,Executar cálculos e operações lógicas,Desempenho lento,ishdisjd
Memória RAM,Corsair Vengeance RGB Pro 32GB,Armazenar dados temporariamente para acesso rápido,Falha na leitura de dados,shadijsodj
Disco rígido,Seagate Barracuda 2TB,Armazenar dados permanentemente,Setores defeituosos,sadoajs
Fonte de alimentação,EVGA SuperNOVA 850W,Fornecer energia elétrica para os componentes do videogame,Falha na entrega de energia,sadlksj
Placa de vídeo,NVIDIA GeForce RTX 3080 Ti,Processar gráficos e imagens,Artefatos gráficos,ksss
Controlador de jogo,Xbox Elite Wireless Controller Series 2,Permitir a interação do usuário com o videogame,Botões presos,skd
Ventilador de refrigeração,Noctua NH-D15 chromax.black,Resfriar os componentes do videogame,Ruído excessivo,skjdksk
Unidade óptica,ASUS DRW-24B1ST/BLK/B/AS DVD/CD Writer,Ler discos ópticos como CDs e DVDs,Incapacidade de ler discos,ksndksn
Cabo HDMI,AmazonBasics High-Speed HDMI Cable - 6 Feet (Latest Standard),Transmitir áudio e vídeo para a TV ou monitor,Sinal fraco,asdad